Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,10,Lirim Zendeli,Germany,Trident,17,38:04.971,,,187.397,2:07.380,2
2,7,Théo Pourchaire,France,ART Grand Prix,17,38:09.018,+ 4.047,+ 4.047,187.066,2:07.304,3
3,11,David Beckmann,Germany,Trident,17,38:10.675,+ 5.704,+ 1.657,186.931,2:07.518,2
4,8,Alexander Smolyar,Russia,ART Grand Prix,17,38:20.014,+ 15.043,+ 9.339,186.172,2:07.660,2
5,1,Oscar Piastri,Australia,Prema Racing,17,38:20.604,+ 15.633,+ 0.590,186.124,2:08.078,3
6,2,Frederik Vesti,Denmark,Prema Racing,17,38:24.056,+ 19.085,+ 3.452,185.845,2:07.816,6
7,12,Olli Caldwell,,Trident,17,38:27.789,+ 22.818,+ 3.733,185.544,2:08.215,3
8,3,Logan Sargeant,USA,Prema Racing,17,38:27.938,+ 22.967,+ 0.149,185.532,2:07.775,3
9,5,Liam Lawson,New Zealand,Hitech Grand Prix,17,38:29.542,+ 24.571,+ 1.604,185.404,2:08.068,2
10,17,Richard Verschoor,Netherlands,MP Motorsport,17,38:29.865,+ 24.894,+ 0.323,185.378,2:08.236,3
11,9,Sebastian Fernandez,Venezuela,ART Grand Prix,17,38:30.556,+ 25.585,+ 0.691,185.322,2:08.683,6
12,16,Jack Doohan,Australia,HWA Racelab,17,38:31.849,+ 26.878,+ 1.293,185.219,2:08.523,3
13,22,Matteo Nannini,Italy,Jenzer Motorsport,17,38:32.852,+ 27.881,+ 1.003,185.138,2:08.780,6
14,29,Alex Peroni,Australia,Campos Racing,17,38:35.139,+ 30.168,+ 2.287,184.955,2:08.661,6
15,6,Dennis Hauger,Norway,Hitech Grand Prix,17,38:35.596,+ 30.625,+ 0.457,184.919,2:08.925,7
16,20,Calan Williams,Australia,Jenzer Motorsport,17,38:35.824,+ 30.853,+ 0.228,184.901,2:08.469,6
17,27,David Schumacher,Germany,Carlin Buzz Racing,17,38:38.946,+ 33.975,+ 3.122,184.652,2:09.004,6
18,21,Federico Malvestiti,Italy,Jenzer Motorsport,17,38:40.025,+ 35.054,+ 1.079,184.566,2:08.884,6
19,24,Igor Fraga,Brazil,Charouz Racing System,17,38:40.696,+ 35.725,+ 0.671,184.512,2:09.118,7
20,25,Michael Belov,Russia,Charouz Racing System,17,38:41.426,+ 36.455,+ 0.730,184.454,2:08.958,6
21,19,Lukas Dunner,Austria,MP Motorsport,17,38:41.989,+ 37.018,+ 0.563,184.410,2:09.171,6
22,4,Pierre-Louis Chovet,France,Hitech Grand Prix,17,38:44.171,+ 39.200,+ 2.182,184.237,2:09.238,6
23,18,Bent Viscaal,Netherlands,MP Motorsport,17,38:44.472,+ 39.501,+ 0.301,184.213,2:09.071,7
24,23,Roman Stanek,Czech Republic,Charouz Racing System,17,39:35.811,+ 1:30.840,+ 51.339,180.232,2:08.293,6
25,28,Cameron Das,USA,Carlin Buzz Racing,17,39:46.350,+ 1:41.379,+ 10.539,179.436,2:08.708,6
26,14,Enzo Fittipaldi,Brazil,HWA Racelab,17,39:55.839,+ 1:50.868,+ 9.489,178.725,2:08.162,6
27,31,Andreas Estner,Germany,Campos Racing,16,39:01.140,1 Lap,1 Lap,172.131,2:09.171,7
DNF,26,Clément Novalak,Great Britain,Carlin Buzz Racing,14,38:48.105,,,151.434,2:07.467,4
DNF,15,Jake Hughes,Great Britain,HWA Racelab,12,28:05.174,,,179.284,2:07.040,6
DNF,30,Alessio Deledda,Italy,Campos Racing,2,4:34.112,,,182.342,2:11.823,2
