0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Russell,122.63,143.543,140.65,146.172,143.405,126.59100000000001,105.621,101.315,97.79700000000001,96.863,97.841,96.096,92.22,91.38,90.729,90.12700000000001,89.93700000000001,88.971,90.57,89.12100000000001,88.947,89.48200000000001,89.059,88.875,90.04799999999999,94.682,113.76299999999999,86.54299999999999,88.36399999999999,88.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leclerc,107.198,145.32299999999998,141.062,142.84,145.489,136.873,99.585,94.848,92.51100000000001,91.679,90.706,90.26799999999999,89.44,89.089,88.806,89.571,88.137,87.53999999999998,88.09200000000001,88.52600000000001,87.624,87.05,87.21000000000002,86.78999999999998,88.31,88.054,87.537,92.46700000000001,113.853,84.319,84.395,111.855,131.844,1756.098,85.39399999999999,81.509,80.807,80.439,80.43,79.512,79.561,79.446,79.399,79.237,79.219,79.37,78.938,79.145,79.025,78.818,78.78399999999998,79.094,78.73899999999999,79.31,80.01599999999998,78.97,78.622,78.676,78.689,78.37899999999999,78.575,78.461,78.624
Stroll,115.367,143.355,141.21200000000002,143.912,143.822,133.47,105.488,100.87200000000001,97.859,97.471,95.223,93.429,91.98100000000001,91.126,90.689,89.93,89.564,89.866,88.7,88.34899999999999,89.65,89.851,90.05199999999998,90.463,90.38,89.322,93.507,115.935,89.899,84.867,106.014,141.21699999999996,1583.211,190.646,88.089,82.708,81.469,81.449,83.66,80.51899999999999,80.426,80.593,80.1,79.994,80.05,79.58,79.805,79.535,79.464,79.143,79.128,78.994,79.18299999999998,79.241,79.464,79.221,79.456,79.741,79.957,79.465,80.138,79.283,79.953
Gasly,114.00299999999999,143.03,140.84799999999998,144.697,143.93200000000002,133.841,105.639,98.54899999999999,100.324,97.475,98.77,97.121,100.823,100.055,121.67399999999999,89.98200000000001,90.99,88.94800000000002,89.568,88.735,90.04799999999999,88.68799999999999,90.21799999999999,90.053,89.771,96.337,120.64299999999999,88.31,84.19800000000002,95.377,124.947,119.472,1554.705,157.649,89.219,83.867,82.344,82.26700000000001,81.232,81.196,80.018,79.765,79.715,80.08,80.02600000000001,79.267,79.232,79.225,79.348,79.008,78.828,78.97200000000002,79.142,79.098,79.407,79.093,81.25,79.354,78.782,79.229,79.82,79.205,80.007
Perez,107.814,146.227,140.741,142.893,145.257,136.344,102.175,97.92200000000001,94.397,93.119,91.56299999999999,90.344,89.822,89.41499999999998,88.65899999999998,87.92299999999999,87.44800000000002,88.179,86.93299999999998,86.456,87.667,87.185,88.43299999999998,90.617,90.301,89.14699999999998,87.715,92.716,127.522,84.005,92.634,130.043,118.705,1715.146,85.696,81.538,80.627,102.738,81.377,79.642,79.90899999999998,79.6,79.10600000000001,80.542,81.263,80.62899999999999,82.119,78.92399999999999,78.334,78.38600000000001,78.343,79.646,80.264,80.119,80.047,79.805,79.63600000000001,79.584,79.836,80.036,79.445,79.419,79.672
Norris,119.977,142.471,139.843,147.079,141.984,130.516,104.428,98.389,94.898,93.029,92.971,91.48200000000001,91.91799999999999,89.719,90.113,88.964,87.946,87.101,87.04899999999999,87.419,87.988,88.538,88.90799999999999,88.59200000000001,89.15700000000001,89.051,88.315,92.204,112.73700000000001,84.98700000000001,93.211,128.26,116.23299999999999,1719.8270000000002,83.618,81.8,80.748,80.578,79.946,79.745,79.38600000000001,79.59100000000002,79.48400000000002,79.352,79.388,79.205,78.979,78.98400000000002,79.025,79.074,78.83800000000001,78.95,78.78699999999999,79.053,78.717,78.756,78.65299999999998,78.95100000000001,78.65899999999998,79.342,78.557,78.571,78.259
Hamilton,102.572,148.39700000000002,141.83100000000002,141.66,145.14600000000004,138.618,99.225,94.591,91.302,90.1,88.72399999999999,88.59200000000001,88.25,88.029,87.072,86.57799999999999,87.501,86.64,87.021,86.959,88.28299999999999,89.277,88.42099999999998,88.139,88.84200000000001,87.07300000000002,86.959,90.425,113.281,83.13799999999999,167.042,167.378,1590.28,179.588,88.464,83.21799999999999,80.97200000000002,81.444,79.479,79.303,79.206,78.332,78.648,78.615,78.71600000000002,78.406,78.538,78.868,79.154,77.858,78.512,79.001,78.805,79.206,77.95,78.505,78.622,78.957,78.53399999999998,76.702,78.824,78.78699999999999,78.038
Raikkonen,123.999,143.752,140.38,146.822,143.239,125.65700000000001,105.309,101.417,98.993,96.052,97.682,96.037,93.403,92.014,90.90799999999999,89.757,89.37299999999999,88.78200000000001,89.54299999999999,89.795,89.387,89.575,91.074,89.26899999999999,88.45700000000001,93.193,114.991,87.169,86.35300000000002,87.699,108.04,137.37,1586.346,185.643,88.963,83.404,81.991,81.84100000000002,81.813,80.744,80.975,80.398,80.29899999999999,80.237,80.361,81.691,80.2,80.14,80.536,80.139,80.256,80.146,80.218,80.139,79.866,79.577,79.845,79.993,79.72200000000002,79.93299999999998,79.515,79.422,79.527
Tsunoda,134.267,141.016,140.548,146.7,143.251,124.808,105.185,101.228,99.778,96.507,96.254,96.303,96.64200000000001,91.729,90.978,89.99700000000001,89.331,89.281,89.051,89.39200000000001,89.088,90.206,90.709,96.118,94.88600000000001,115.551,86.00399999999999,88.73,83.42399999999999,83.42,110.75299999999999,137.918,1588.454,174.64700000000002,111.291,82.00299999999999,82.135,80.792,79.867,80.001,79.932,79.61,79.66,79.89,80.39699999999998,79.991,79.72,80.268,80.314,80.396,80.405,79.149,79.711,79.874,79.512,79.446,79.03999999999998,79.131,78.863,78.771,78.69800000000002,78.35300000000002,78.408
Sainz,117.21799999999999,142.547,141.308,146.446,141.7,132.38299999999998,104.461,100.499,96.901,96.07,90.757,89.461,98.279,89.581,88.696,88.98100000000001,87.87799999999999,88.087,87.85300000000002,88.537,88.89,88.73400000000002,87.844,88.225,89.87299999999999,87.382,92.015,115.179,85.28,83.35300000000002,92.779,128.371,118.15,1711.95,86.61399999999999,81.63,80.714,80.538,80.062,79.998,79.577,79.355,79.143,79.063,79.096,79.078,78.869,79.038,79.26899999999999,79.905,79.053,78.54899999999999,79.02,79.214,79.123,78.763,78.684,78.612,78.678,78.49,78.571,78.764,78.49600000000001
