POS.,CAR,DRIVER,TEAM,LAPS,BEST,GAP,IN
1,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,7,1:55.356,3
2,3,Pierre-Louis CHOVET,Pinnacle Motorsport,8,1:55.448,0.092,4
3,12,Ayumu IWASA,Hitech Grand Prix,7,1:55.636,0.188,4
4,19,Jehan DARUVALA,Mumbai Falcons India Racing ltd,7,1:55.666,0.03,5
5,7,Roberto FARIA,Motorscape,6,1:55.715,0.049,3
6,11,Roman STANEK,Hitech Grand Prix,7,1:55.753,0.038,3
7,4,Patrik PASMA,Evans GP,7,1:55.836,0.083,4
8,16,David VIDALES,Abu Dhabi Racing by Prema,7,1:55.844,0.008,4
9,13,Reece USHIJIMA,Hitech Grand Prix,7,1:56.167,0.323,5
10,28,Kush MAINI,Mumbai Falcons India Racing ltd,7,1:56.244,0.077,3
11,14,Roy NISSANY,Hitech Grand Prix,7,1:56.304,0.059,6
12,5,Alex CONNOR,Evans GP,8,1:56.365,0.061,4
13,74,Cem BOLUKBASI,BlackArts Racing,7,1:56.449,0.084,3
14,25,Alexandre BARDINON,Pinnacle Motorsport,8,1:56.590,0.141,3
15,62,Lorenzo FLUXA,BlackArts Racing,7,1:56.601,0.011,6
16,8,Rafael VILLAGOMEZ,BlackArts Racing,7,1:56.833,0.232,3
17,10,Alessio DELEDDA,Pinnacle Motorsport,8,1:57.154,0.321,3
18,51,Irina SIDORKOVA,Evans GP,6,1:57.638,0.484,3
19,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,8,1:58.085,0.447,6
20,99,Khaled AL QUBAISI,Abu Dhabi Racing by Prema,7,1:58.574,0.489,3
21,77,Nicola MARINANGELI,Motorscape,6,1:58.653,0.079,6
