POS.,CAR,DRIVER,TEAM,LAPS,TIME,GAP,BEST
1,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,11,30:56.351,0.679,1:58.321
2,4,Patrik PASMA,Evans GP,11,30:55.672,11 laps,1:58.038
3,3,Pierre-Louis CHOVET,Pinnacle Motorsport,11,30:57.026,1.354,1:58.735
4,11,Roman STANEK,Hitech Grand Prix,11,30:57.876,2.204,2:01.036
5,13,Reece USHIJIMA,Hitech Grand Prix,11,30:58.432,2.76,2:01.051
6,5,Alex CONNOR,Evans GP,11,30:58.974,3.302,2:00.434
7,62,Lorenzo FLUXA,BlackArts Racing,11,30:59.300,3.628,2:01.076
8,74,Cem BOLUKBASI,BlackArts Racing,11,30:59.862,4.19,2:00.443
9,8,Rafael VILLAGOMEZ,BlackArts Racing,11,31:00.678,5.006,2:00.572
10,10,Alessio DELEDDA,Pinnacle Motorsport,11,31:01.298,5.626,2:00.007
11,16,David VIDALES,Abu Dhabi Racing by Prema,11,31:02.601,6.929,2:00.195
12,19,Jehan DARUVALA,Mumbai Falcons India Racing Ltd,11,31:04.805,9.133,1:58.552
13,25,Alexandre BARDINON,Pinnacle Motorsport,11,31:05.563,9.891,1:59.619
14,51,Irina SIDORKOVA,Evans GP,11,31:05.859,10.187,2:01.519
15,99,Khaled AL QUBAISI,Abu Dhabi Racing by Prema,11,31:07.092,11.42,2:01.834
16,77,Nicola MARINANGELI,Motorscape,11,31:07.523,11.851,2:01.211
DNF,28,Kush MAINI,Mumbai Falcons India Racing Ltd,7,18:06.402,7 laps,1:57.998
DNF,14,Roy NISSANY,Hitech Grand Prix,7,18:07.040,0.638,1:58.089
DNF,7,Roberto FARIA,Motorscape,7,18:21.721,15.319,1:59.707
DNF,12,Ayumu IWASA,Hitech Grand Prix,7,18:33.997,27.595,1:59.945
DNF,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,1,2:11.838,1 lap,2:05.254
